id,lat,lon,transit
1,42.357697,-71.06332,yes
2,42.35925,-71.0627,no
3,42.3589,-71.0607,no
4,42.359245,-71.06387,no
5,42.35811,-71.06221,no
6,42.359383,-71.062325,no
7,42.358707,-71.06505,no
8,42.358986,-71.06422,no
9,42.35921,-71.06118,no
10,42.359264,-71.060326,no
11,42.3591,-71.0628,no
12,42.36093,-71.05922,no
13,42.361485,-71.059494,no
14,42.358707,-71.06394,no
15,42.358284,-71.059845,no
16,42.35809,-71.061676,no
17,42.358395,-71.06222,no
18,42.357986,-71.059105,no
19,42.361023,-71.063835,no
20,42.357735,-71.05916,no
21,42.35775,-71.059204,no
22,42.357452,-71.06354,no
23,42.35749,-71.06342,no
24,42.357536,-71.05842,no
25,42.357376,-71.058945,no
26,42.35903,-71.0592,no
27,42.362022,-71.06543,no
28,42.36098,-71.06262,no
29,42.361008,-71.06504,no
30,42.361008,-71.06493,no
31,42.361004,-71.0647,no
32,42.36102,-71.06327,no
33,42.361008,-71.06499,no
34,42.361023,-71.06318,no
35,42.361023,-71.06309,no
36,42.358086,-71.06258,no
37,42.358482,-71.0627,no
38,42.358616,-71.06271,no
39,42.35894,-71.06279,no
40,42.361286,-71.06514,no
41,42.361023,-71.063965,no
42,42.361027,-71.06361,no
43,42.3614,-71.06543,no
44,42.360203,-71.06378,no
45,42.362396,-71.06431,no
46,42.35817,-71.058105,no
47,42.35902,-71.05956,no
48,42.358788,-71.05846,no
49,42.359364,-71.05914,no
