id,lat,lon,transit
1,42.36274,-71.07015,no
2,42.36321,-71.06638,no
3,42.36273,-71.06741,no
4,42.363052,-71.07,no
5,42.36298,-71.068596,no
6,42.36102,-71.06778,no
7,42.359264,-71.067825,no
8,42.36371,-71.067276,no
9,42.360653,-71.06699,no
10,42.358707,-71.06505,no
11,42.359543,-71.06589,no
12,42.36315,-71.06533,no
13,42.360374,-71.07005,no
14,42.36315,-71.06672,no
15,42.360096,-71.06699,no
16,42.36258,-71.06825,no
17,42.362633,-71.07033,no
18,42.36315,-71.069496,no
19,42.361935,-71.07046,no
20,42.361755,-71.07023,no
21,42.36192,-71.07012,no
22,42.360992,-71.06821,no
23,42.360996,-71.068054,no
24,42.360996,-71.06795,no
25,42.36132,-71.0667,no
26,42.36101,-71.06589,no
27,42.36096,-71.06567,no
28,42.361813,-71.0655,no
29,42.361935,-71.06606,no
30,42.360626,-71.07057,no
31,42.360966,-71.06892,no
32,42.360992,-71.067154,no
33,42.36102,-71.06682,no
34,42.36102,-71.06665,no
35,42.361027,-71.06649,no
36,42.360447,-71.07069,no
37,42.36037,-71.07068,no
38,42.36201,-71.06573,no
39,42.361004,-71.0647,no
40,42.361008,-71.06493,no
41,42.3614,-71.06543,no
42,42.36096,-71.069305,no
43,42.3613,-71.06835,no
44,42.360256,-71.07097,no
45,42.360184,-71.07096,no
46,42.362736,-71.0691,no
47,42.361286,-71.06514,no
48,42.36069,-71.070885,no
49,42.361904,-71.0678,no
50,42.359196,-71.07078,no
51,42.3589,-71.07058,no
52,42.360767,-71.07028,no
