id,lat,lon,transit
1,42.357002,-71.065796,yes
2,42.357697,-71.06332,yes
3,42.359383,-71.062325,no
4,42.35678,-71.0592,no
5,42.35925,-71.0627,no
6,42.35687,-71.05878,no
7,42.35811,-71.06221,no
8,42.35717,-71.05846,no
9,42.3589,-71.0607,no
10,42.359245,-71.06387,no
11,42.358284,-71.059845,no
12,42.35732,-71.06088,no
13,42.358986,-71.06422,no
14,42.35921,-71.06118,no
15,42.359264,-71.060326,no
16,42.3591,-71.0628,no
17,42.3569,-71.0588,no
18,42.3566,-71.059,no
19,42.3572,-71.0585,no
20,42.36093,-71.05922,no
21,42.361485,-71.059494,no
22,42.358707,-71.06394,no
23,42.35809,-71.061676,no
24,42.359455,-71.057686,no
25,42.361023,-71.063835,no
26,42.357986,-71.059105,no
27,42.356903,-71.05891,no
28,42.35682,-71.05886,no
29,42.358395,-71.06222,no
30,42.357376,-71.058945,no
31,42.357735,-71.05916,no
32,42.35775,-71.059204,no
33,42.35864,-71.05753,no
34,42.358646,-71.05739,no
35,42.357452,-71.06354,no
36,42.35749,-71.06342,no
37,42.357536,-71.05842,no
38,42.358723,-71.057236,no
39,42.35903,-71.0592,no
40,42.361023,-71.063965,no
41,42.361027,-71.06361,no
42,42.361023,-71.06309,no
43,42.36102,-71.06327,no
44,42.361023,-71.06318,no
45,42.36098,-71.06262,no
46,42.35716,-71.06078,no
47,42.35712,-71.060936,no
48,42.357277,-71.06102,no
49,42.358086,-71.06258,no
50,42.358482,-71.0627,no
51,42.358616,-71.06271,no
52,42.35894,-71.06279,no
53,42.35892,-71.05763,no
54,42.360203,-71.06378,no
55,42.35684,-71.05759,no
56,42.362396,-71.06431,no
57,42.357063,-71.05895,no
58,42.35817,-71.058105,no
59,42.35902,-71.05956,no
60,42.358788,-71.05846,no
61,42.35823,-71.05772,no
62,42.359364,-71.05914,no
63,42.36103,-71.06435,no
64,42.356792,-71.06003,no
65,42.35764,-71.062904,no
66,42.35769,-71.05901,no
