id,lat,lon,transit
1,42.3589,-71.0607,no
2,42.359264,-71.060326,no
3,42.36093,-71.05922,no
4,42.361485,-71.059494,no
5,42.35861,-71.05703,no
6,42.358284,-71.059845,no
7,42.359455,-71.057686,no
8,42.361546,-71.057106,no
9,42.361134,-71.05697,no
10,42.360207,-71.05479,no
11,42.360897,-71.055214,no
12,42.361275,-71.05695,no
13,42.35864,-71.05753,no
14,42.358646,-71.05739,no
15,42.358723,-71.057236,no
16,42.36082,-71.055145,no
17,42.35903,-71.0592,no
18,42.361145,-71.056786,no
19,42.360584,-71.05687,no
20,42.35892,-71.05763,no
21,42.359234,-71.05543,no
22,42.359413,-71.053696,no
23,42.360714,-71.05673,no
24,42.359383,-71.05546,no
25,42.359463,-71.055466,no
26,42.360233,-71.05392,no
27,42.359768,-71.05564,no
28,42.35973,-71.056,no
29,42.359333,-71.054184,no
30,42.360504,-71.05475,no
31,42.360043,-71.055435,no
32,42.35817,-71.058105,no
33,42.35902,-71.05956,no
34,42.358788,-71.05846,no
35,42.35823,-71.05772,no
36,42.359364,-71.05914,no
37,42.36003,-71.05624,no
38,42.360165,-71.054886,no
39,42.35991,-71.05421,no
40,42.36053,-71.05489,no
41,42.360508,-71.055115,no
42,42.35981,-71.05516,no
