id,lat,lon,transit
1,42.357002,-71.065796,yes
2,42.359245,-71.06387,no
3,42.36102,-71.06778,no
4,42.35732,-71.065605,no
5,42.359264,-71.067825,no
6,42.358707,-71.06505,no
7,42.359543,-71.06589,no
8,42.360096,-71.06699,no
9,42.358986,-71.06422,no
10,42.358707,-71.06394,no
11,42.360653,-71.06699,no
12,42.361023,-71.063835,no
13,42.36132,-71.0667,no
14,42.36096,-71.06567,no
15,42.361813,-71.0655,no
16,42.361935,-71.06606,no
17,42.36101,-71.06589,no
18,42.360996,-71.06795,no
19,42.360992,-71.067154,no
20,42.36201,-71.06573,no
21,42.362022,-71.06543,no
22,42.36102,-71.06682,no
23,42.361027,-71.06649,no
24,42.361008,-71.06504,no
25,42.361008,-71.06493,no
26,42.361355,-71.06624,no
27,42.360992,-71.06729,no
28,42.361004,-71.0661,no
29,42.361004,-71.0647,no
30,42.361008,-71.06499,no
31,42.36136,-71.065956,no
32,42.361286,-71.06514,no
33,42.361023,-71.063965,no
34,42.361027,-71.06361,no
35,42.36102,-71.06665,no
36,42.3614,-71.06543,no
37,42.360203,-71.06378,no
38,42.36174,-71.067184,no
39,42.361904,-71.0678,no
40,42.362396,-71.06431,no
